coeffs,Galois_group,A_R13_free,A_stderr_R13_free,delta_R13_free,residual_mean,residual_std,residual_at_max_n,n_points
"[1, -5, -3, -3, 3]",S_4,7.992413784180649,0.0001645240890775632,-0.007586215819350706,3.919827425609886e-13,0.0026155195545073807,0.004648894039974039,48
"[1, -5, 0, -4, 5]",S_4,7.994204665105769,0.00012541293779615292,-0.005795334894230564,3.979039320256561e-13,0.001997985291360294,0.0035523748731520755,48
"[1, -5, 0, 4, -5]",S_4,7.994365218868186,0.00012038093351205234,-0.005634781131814037,3.813246015245871e-13,0.0019421353310508434,0.003459630741872388,48
"[1, -5, 3, -3, 3]",S_4,7.996029850728017,8.529177203087297e-05,-0.003970149271983026,2.2737367544323206e-13,0.0013685389734330732,0.0024358298974220816,48
"[1, -5, 3, 1, -2]",S_4,7.996109990202517,8.278301430243304e-05,-0.003890009797482996,4.085620730620576e-13,0.001340664117951561,0.0023895285460184823,48
"[1, -4, 0, -5, 5]",S_4,7.996333952917856,7.857583124513673e-05,-0.0036660470821443525,4.606685403511316e-13,0.0012636544422467506,0.0022498989014820836,48
"[1, -4, 0, -4, 4]",S_4,7.996353609597684,7.796433437741431e-05,-0.0036463904023156246,4.559315887793977e-13,0.0012568184296125853,0.0022385295267213223,48
"[1, -4, 0, -3, 3]",S_4,7.996373266064484,7.735286206481832e-05,-0.0036267339355156025,3.990881699185896e-13,0.0012499826427828321,0.00222716025086811,48
"[1, -4, 0, -2, 2]",S_4,7.996392922317566,7.674141440872796e-05,-0.003607077682434401,6.465938895416912e-13,0.0012431470843482458,0.0022157910773330514,48
"[1, -4, 0, -1, 1]",S_4,7.996412578357771,7.612999176235287e-05,-0.0035874216422291383,4.097463109549911e-13,0.0012363117570322111,0.0022044220092993783,48
"[1, -4, 0, 1, -1]",S_4,7.996451889796204,7.490722242313963e-05,-0.0035481102037957513,4.902744876744691e-13,0.0012226418058586186,0.0021816841890540672,48
"[1, -4, 0, 2, -2]",S_4,7.996471545194079,7.429587629869593e-05,-0.003528454805921122,4.760636329592671e-13,0.0012158071873330705,0.0021703154379792977,48
"[1, -4, 0, 3, -3]",S_4,7.996491200378864,7.368455641931435e-05,-0.0035087996211355943,4.594843024581982e-13,0.0012089728104604303,0.002158946790814298,48
"[1, -4, 0, 4, -4]",S_4,7.996510855348569,7.307326285324501e-05,-0.003489144651431353,3.4935017841538257e-13,0.001202138678230233,0.0021475782541529043,48
"[1, -4, 0, 5, -5]",S_4,7.99653051010512,7.246199625972527e-05,-0.0034694898948801622,5.767238538586147e-13,0.0011953047931983541,0.0021362098193549173,48
"[1, -3, -3, -5, 3]",S_4,7.996137081459401,8.186434187693327e-05,-0.0038629185405989475,4.642212540299321e-13,0.001331219273956142,0.0023741051390970824,48
"[1, -3, 0, -4, 3]",S_4,7.997833199517682,4.5878545625940036e-05,-0.0021668004823176545,4.369837824924616e-13,0.0007466987914489135,0.0013318618059656728,48
"[1, -3, 0, 4, -3]",S_4,7.99798729200056,4.112165669690182e-05,-0.0020127079994400887,5.104065318543386e-13,0.0006931348010853592,0.001242580187636122,48
"[1, -3, 3, -5, 3]",S_4,7.999485443474809,1.1306701413790422e-05,-0.0005145565251911677,4.5356311299353064e-13,0.00017745281991199893,0.00031479411609325325,48
"[1, -3, 3, 3, -3]",S_4,7.999638547620598,6.466119468780351e-06,-0.0003614523794022162,5.364597654988756e-13,0.0001242144921290161,0.00023051242783367343,48
"[1, -2, 0, -4, 2]",S_4,7.99878975656938,5.81980726729559e-05,-0.0012102434306200394,6.584362684710262e-13,0.0004335095086836731,0.0001490393221956765,48
"[1, -2, 0, -2, 1]",D_4,7.998742687740474,2.8975911862813e-05,-0.0012573122595256336,5.056695802826047e-13,0.00043405434732509004,0.0006903104047069064,48
"[1, -2, 0, 4, -2]",D_4,7.999498256892896,0.0002948678232189479,-0.0005017431071037137,5.151434834260726e-13,0.0006890921718144966,-0.003638998325641296,48
"[1, -1, -3, 1, -1]",S_4,7.873833267782302,0.05400254815282997,-0.12616673221769759,8.419931418757187e-13,0.1296041418454737,0.8225313155198819,48
"[1, -1, 0, -4, 1]",S_4,8.060103821028472,0.02670881514979596,0.06010382102847167,3.813246015245871e-13,0.06384413205839118,-0.40518852413470086,48
"[1, -1, 0, 4, -1]",S_4,7.99910616734587,1.737726709213636e-05,-0.0008938326541301223,-2.4551519210093674e-13,0.0002938135526535025,0.0005306471564381354,47
"[1, -1, 3, 1, -1]",S_4,8.000623415305068,1.2696121507313005e-05,0.0006234153050677094,-3.870190220310333e-14,0.00020508353917249157,-0.0003680916179291671,47
"[1, -1, 3, 5, -2]",S_4,8.000698951413707,1.4990421986436654e-05,0.0006989514137067943,-8.224154218159458e-14,0.0002301520275371555,-0.00041006062542692234,47
"[1, 1, -3, -1, -1]",S_4,7.996512786943762,6.954281213982927e-05,-0.0034872130562382253,-2.938925698548159e-13,0.0011467672488878313,0.002064203179543256,47
"[1, 1, 0, -4, -1]",S_4,7.997925634469594,4.255302284555252e-05,-0.002074365530406297,8.466041106928853e-14,0.000682486783089938,0.001223742947104256,47
"[1, 1, 0, 4, 1]",S_4,7.998071390522035,3.8177317921045695e-05,-0.0019286094779653595,-2.588189709832535e-13,0.0006341433925885303,0.00114260091891083,47
"[1, 1, 3, -5, -2]",S_4,7.999370355150786,1.4653306741035355e-05,-0.0006296448492140172,-7.256606663081875e-14,0.0002076871297922385,0.0003654005993212195,47
"[1, 1, 3, -1, -1]",S_4,7.999443120491076,1.2469400474929989e-05,-0.0005568795089239131,-3.8580958758718633e-13,0.00018353033546184987,0.000324885773807182,47
"[1, 2, 0, -4, -2]",D_4,7.996686655383184,6.687260340495036e-05,-0.003313344616816316,-4.4749074422338226e-14,0.0010898130627143728,0.0019584892327202397,47
"[1, 2, 0, 2, 1]",D_4,7.996794014699413,6.366864462958374e-05,-0.003205985300587244,-3.6645863648563464e-13,0.0010542121651576418,0.0018986631798725284,47
"[1, 2, 0, 4, 2]",S_4,7.99682979964986,6.260083741200549e-05,-0.003170200350139929,-2.3342084766246697e-13,0.0010423467947988673,0.0018787218684792606,47
"[1, 3, -3, -3, -3]",S_4,7.993661074102401,0.0001243764072816052,-0.00633892589759899,-1.0763966550238113e-13,0.0020839907617994854,0.003759380586188854,47
"[1, 3, -3, 5, 3]",S_4,7.993801926778247,0.00012019332468568667,-0.006198073221752587,-2.987303076302038e-13,0.0020372988386314307,0.0036808278409807826,47
"[1, 3, 0, -4, -3]",S_4,7.9950099204174405,9.922382869000439e-05,-0.004990079582559481,-2.1769819989245623e-14,0.0016409035655844438,0.002954812277266683,47
"[1, 3, 0, 4, 3]",S_4,7.995150558923546,9.505084503653804e-05,-0.004849441076453687,-2.6728501209018236e-13,0.0015942790893871768,0.002876366562986732,47
"[1, 3, 3, -3, -3]",S_4,7.996389591845202,7.319829043554589e-05,-0.0036104081547980726,-1.330377888231677e-13,0.0011876149186484436,0.002132920084932266,47
"[1, 3, 3, 5, 3]",S_4,7.996530013787975,6.903539915538483e-05,-0.003469986212024878,-1.318283543793207e-13,0.0011410568337412164,0.0020545825484532543,47
"[1, 4, 0, -5, -5]",S_4,7.99290902689271,0.00013924091711918973,-0.0070909731072896776,-1.4634156770548445e-13,0.002331264083434227,0.004205009282713945,47
"[1, 4, 0, -4, -4]",S_4,7.992926306796677,0.000138730965949407,-0.007073693203323295,-1.2940948549162676e-13,0.0023255364873389535,0.004195362121436119,47
"[1, 4, 0, -3, -3]",S_4,7.9929435865249,0.00013822102987838606,-0.0070564134750998875,-2.87845397635581e-13,0.0023198090089839017,0.004185715043604432,47
"[1, 4, 0, -2, -2]",S_4,7.992960866077561,0.00013771110908805578,-0.007039133922439156,-7.377550107466572e-14,0.002314081648709226,0.004176068050355752,47
"[1, 4, 0, -1, -1]",S_4,7.9929781454520805,0.00013720120356129487,-0.007021854547919482,1.5722647770010728e-14,0.0023083544070873372,0.0041664211405532114,47
"[1, 4, 0, 1, 1]",S_4,7.993012703674492,0.00013618143853871647,-0.006987296325507764,-1.5238873992471936e-13,0.002296900281399727,0.004147127573560283,47
"[1, 4, 0, 2, 2]",S_4,7.993029982521365,0.00013567157913562612,-0.006970017478635349,-4.958681219772614e-14,0.002291173398178625,0.0041374809156877745,47
"[1, 4, 0, 3, 3]",S_4,7.993047261191508,0.00013516173526639368,-0.006952738808491787,-4.910303842018735e-13,0.0022854466352262752,0.004127834341261405,47
"[1, 4, 0, 4, 4]",S_4,7.993064539685432,0.00013465190690407732,-0.006935460314568154,-1.8746233879628176e-13,0.002279719993158899,0.004118187851645416,47
"[1, 4, 0, 5, 5]",S_4,7.993081818004068,0.00013414209421398903,-0.00691818199593186,-2.7816992208480516e-13,0.0022739934722353678,0.004108541444566072,47
"[1, 5, -3, 3, 3]",S_4,7.989309070082419,0.00020417420010148744,-0.010690929917580583,3.628303331540937e-14,0.00351325325308724,0.006360136738067013,47
"[1, 5, 0, -4, -5]",S_4,7.990464525801496,0.00018460042840597824,-0.00953547419850409,-1.2820005104777977e-13,0.0031342142577878936,0.00566393984786373,47
"[1, 5, 0, 4, 5]",S_4,7.990600447764415,0.00018061074041374433,-0.009399552235585418,6.893776329927781e-14,0.0030891736532299213,0.005587989314562947,47
"[1, 5, 3, -1, -2]",S_4,7.991785960958927,0.00016018983495709075,-0.008214039041073207,8.466041106928853e-15,0.002700188447182716,0.004874885851904764,47
"[1, 5, 3, 3, 3]",S_4,7.99185382029701,0.0001581997681027228,-0.008146179702990253,-2.443057576570898e-13,0.0026777007009906924,0.004836962004446832,47
"[2, -5, -3, 1, -1]",S_4,7.997488189838035,5.167277687358296e-05,-0.0025118101619652222,6.884369617586748e-13,0.0007515655945259567,0.0013489727839441912,45
"[2, -4, 0, -2, 1]",S_4,7.998688894960412,2.6914790689280536e-05,-0.0013111050395879786,6.59383658785373e-13,0.00039228516142007005,0.0007043014084047172,45
"[2, -4, 0, 2, -1]",D_4,7.998729170616045,2.568714175933319e-05,-0.0012708293839551743,7.768600577643762e-13,0.000380136125151219,0.0006839079186420349,45
"[2, -2, 0, -4, 1]",S_4,7.998961150616015,2.139837246534125e-05,-0.0010388493839847968,7.579122514774402e-13,0.00031084372918757853,0.0005578215744890258,45
"[2, -2, 0, 4, -1]",S_4,7.999040133617968,1.9007182317006743e-05,-0.0009598663820318265,7.882287415365378e-13,0.00028702427250377457,0.0005177838447707472,45
"[2, -1, -3, 5, -1]",S_4,7.998183858997781,3.6030193268594514e-05,-0.0018161410022186075,7.819128061075592e-13,0.0005430880504498228,0.0009794812596055635,45
"[2, 1, -3, -5, -1]",S_4,7.9975794332396335,4.88335284793659e-05,-0.002420566760366505,7.553858773058488e-13,0.0007240279855331223,0.0013029331419147638,45
"[2, 2, 0, -4, -1]",S_4,7.997899170319066,4.257017309440983e-05,-0.0021008296809341687,8.235979799388184e-13,0.0006284354514152412,0.0011302418670311454,45
"[2, 2, 0, 4, 1]",S_4,7.997975215350237,4.029703855557443e-05,-0.0020247846497634114,7.819128061075592e-13,0.0006055102001058323,0.0010916114165411273,45
"[2, 4, 0, -2, -1]",D_4,7.996641069684908,6.69795017496924e-05,-0.0033589303150920458,6.164352978683181e-13,0.0010045167266505787,0.0018105045594438707,45
"[2, 4, 0, 2, 1]",S_4,7.9966785077568066,6.588549544424239e-05,-0.003321492243193447,6.694891554717389e-13,0.0009932371752192917,0.0017909616506130988,45
"[2, 5, -3, -1, -1]",S_4,7.995125938116675,9.581776928706905e-05,-0.004874061883325176,7.402276322762999e-13,0.0014573013429095625,0.0026314062458823173,45
"[3, -5, -3, -3, 1]",S_4,7.9982686760639385,3.53436369535174e-05,-0.0017313239360614574,-6.58866900432093e-14,0.0004930186441536948,0.0008863207028753095,44
"[3, -5, 3, -3, 1]",S_4,7.9993971466518685,1.2348504925233326e-05,-0.0006028533481314824,-1.937843824800273e-14,0.000171680459121834,0.00030849644667796383,44
"[3, -4, 0, -3, 1]",S_4,7.9989315736304585,2.178341565460761e-05,-0.0010684263695415197,-1.5502750598402185e-14,0.0003042429872501755,0.0005470423127462709,44
"[3, -4, 0, 3, -1]",S_4,7.99897220541735,2.0553258046097742e-05,-0.0010277945826500101,0.0,0.00029258185437344903,0.0005274132820431987,44
"[3, -3, -3, -5, 1]",S_4,7.998401007659767,3.256631148884027e-05,-0.0015989923402326411,-5.167583532800729e-15,0.00045531804148048763,0.0008187919218016759,44
"[3, -3, -3, 3, -1]",S_4,7.9984548687219466,3.094007395828312e-05,-0.0015451312780534465,2.325412589760328e-14,0.00043986116147474053,0.0007927279483510574,44
"[3, -3, 0, -4, 1]",S_4,7.998958197860046,2.1293911626350723e-05,-0.0010418021399543065,4.004877237920565e-14,0.00029667371877643514,0.000533058311248169,44
"[3, -3, 0, 4, -1]",S_4,7.9990121916466315,1.969358797321649e-05,-0.0009878083533685356,2.5837917664003644e-15,0.00028118555320475017,0.0005061965148343006,44
"[3, -3, 3, -5, 1]",S_4,7.999501310628097,1.0451341719893207e-05,-0.000498689371903005,-4.392446002880619e-14,0.0001420715452862138,0.00025415676805096155,44
"[3, -3, 3, 3, -1]",S_4,7.999558128962555,9.361622983673054e-06,-0.0004418710374451962,2.1187092484482986e-13,0.00012590842369706844,0.0002131174089754495,44
"[3, 3, -3, -3, -1]",S_4,7.997333863481569,5.314802136668064e-05,-0.0026661365184308394,1.9432517610555297e-13,0.0007214209237100237,0.00130153576333214,43
"[3, 3, -3, 5, 1]",S_4,7.997386854912228,5.1570964152403846e-05,-0.0026131450877722173,-1.4541339708578795e-14,0.000706974815315524,0.0012771043841439678,43
"[3, 3, 0, -4, -1]",S_4,7.997845800181329,4.333423791530441e-05,-0.002154199818670932,2.293565854034928e-13,0.0005829791370677178,0.0010505420482331829,43
"[3, 3, 0, 4, 1]",S_4,7.997898762699234,4.1758515767615075e-05,-0.002101237300766279,1.7053025658242404e-13,0.0005685401547706009,0.0010261226591410377,43
"[3, 3, 3, -3, -1]",S_4,7.998370397738461,3.314953214020435e-05,-0.0016296022615387429,2.7826836442325783e-13,0.0004410875942354083,0.0007936966204624696,43
"[3, 3, 3, 5, 1]",S_4,7.99842333097349,3.1575153694956706e-05,-0.0015766690265097694,5.089468898002578e-14,0.0004266556996283324,0.0007692893693729275,43
"[3, 4, 0, -3, -1]",S_4,7.997467258823554,5.068266089775169e-05,-0.002532741176445974,8.790900823822635e-14,0.0006853661497737352,0.0012358804527821121,43
"[3, 4, 0, 3, 1]",S_4,7.997506734706191,4.95106018146301e-05,-0.0024932652938094435,3.0206328394638676e-13,0.0006746047213449665,0.0012176733730484557,43
"[3, 5, -3, 3, 1]",S_4,7.996561336688999,6.77142255472682e-05,-0.0034386633110008447,-5.9487298807822344e-15,0.0009302846801273531,0.0016809660744456778,43
"[3, 5, 3, 3, 1]",S_4,7.9975726009613055,4.8455981323463356e-05,-0.002427399038694489,1.9498614609230656e-13,0.000656835653575521,0.0011848065055346524,43
"[5, -5, 0, -4, 1]",S_4,7.998935616077083,2.1540605505253038e-05,-0.0010643839229169672,1.8474111129762605e-13,0.00027345274276330993,0.0004925636499137909,42
"[5, -5, 0, 4, -1]",S_4,7.998969389519889,2.0525274798549476e-05,-0.0010306104801109939,3.045183153257572e-14,0.00026471189689338453,0.00047779081683074764,42
"[5, -4, 0, -5, 1]",S_4,7.998920492221458,2.1880068980809116e-05,-0.0010795077785417106,3.721890520648144e-14,0.0002773447402587455,0.0004994760435010903,42
"[5, -4, 0, 5, -1]",S_4,7.998962542818889,2.0617596542114266e-05,-0.0010374571811109234,2.774500206301344e-13,0.0002664620455819381,0.00048107876432368357,42
"[5, 4, 0, -5, -1]",S_4,7.9980258570325145,3.964296530070128e-05,-0.001974142967485548,-2.0301221021717147e-15,0.000507120649947503,0.0009143675696350329,42
"[5, 4, 0, 5, 1]",S_4,7.998066629521556,3.8431475073897165e-05,-0.0019333704784436634,5.3459882023855156e-14,0.0004965715105786604,0.000896500102498976,42
"[5, 5, 0, -4, -1]",S_4,7.997822133227622,4.3602093010218485e-05,-0.0021778667723779677,1.2992781453898974e-13,0.0005594280891651588,0.001009067803806829,42
"[5, 5, 0, 4, 1]",S_4,7.99785462835112,4.2637760403344795e-05,-0.002145371648880179,4.669280834994944e-14,0.0005510208961342588,0.0009948248797400083,42
"[7, -5, -3, 5, -1]",S_4,7.998683051309335,2.6178172286380514e-05,-0.0013169486906647876,-2.0311124056361889e-13,0.00032060847142061295,0.000578949139139695,41
"[7, -5, 3, 5, -1]",S_4,7.9991720957678165,1.646917865212796e-05,-0.0008279042321834851,-1.663709820316332e-13,0.0002015537466989964,0.0003639289745365204,41
"[7, 5, -3, -5, -1]",S_4,7.997852225693058,4.28292350458457e-05,-0.0021477743069420185,-1.233918116734613e-13,0.000522895309424419,0.0009438621308959227,41
"[7, 5, 3, -5, -1]",S_4,7.998315346467295,3.389229942195538e-05,-0.0016846535327053047,-2.301465251437593e-13,0.00041019734899299,0.0007396164615443013,41
