"Dossier","File","SHA16","Bytes","Lines"
"074","claims.jsonl","7618B533D6E20CD9","4231","10"
"074","discrepancy_log.json","1997802757BC81E4","5311","49"
"074","forbidden_verb_scan.md","5F0DF31D2D1F7818","6835","117"
"074","halt_log.json","B3BE6B71A9C5CA9B","4370","70"
"074","handoff.md","72E69F7495F5FE7F","10477","171"
"074","m4_claim_chain.md","A2188FC7140A5D34","12055","214"
"074","m4_residual_questions.md","4C6A08761F06D075","14170","252"
"074","m4_substrate_anchor_shas.md","2F25259344B77BEE","12826","149"
"074","m4_substrate_inventory.md","2C20A5F5A28327B2","9591","165"
"074","quote_length_scan.md","8ED3B056A6FF5680","2882","88"
"074","unexpected_finds.json","1BFC40F6C5669089","4195","32"
"074","w21_lane1_m4_dispatch_packet.md","B45B595A50A71D9C","7387","140"
"075","bt_5_13a_structural_form.md","80016AC5B79502EB","9882","155"
"075","chart_map_required_form.md","9A2ED794476DDC7C","8135","128"
"075","claims.jsonl","4B893B322901173F","7599","10"
"075","discrepancy_log.json","60BFA99462B3259E","4646","39"
"075","forbidden_verb_scan.md","E3FF22D55473277D","9224","109"
"075","halt_log.json","3C3AFD5F96C5AD05","4292","71"
"075","handoff.md","177AF5AB833CB00B","15643","259"
"075","quote_length_scan.md","78CE729E6A0B63B7","5961","54"
"075","structural_match_matrix.md","4A3CB2E08841C67A","7623","98"
"075","substrate_anchor_shas.md","BD386421E41E06C5","7757","81"
"075","synthesizer_decision_packet.md","59305DE4FAB19C70","6409","111"
"075","unexpected_finds.json","F013A189ADA7F384","4613","35"
"077","bundle_configuration_matrix.md","9188DEE5C576E832","12751","118"
"077","bundle_feasibility_matrix.md","C4642FAE42C311A9","10139","92"
"077","claims.jsonl","A9F0EBD5367E52A2","3517","7"
"077","cross_bundle_compatibility.md","3B88D6AB9AF31E0F","8753","117"
"077","discrepancy_log.json","66A633C62028858D","4630","59"
"077","forbidden_verb_scan.md","F34AE5FA1ED374F5","9886","121"
"077","halt_log.json","3E895CDE942CD579","2684","1"
"077","handoff.md","B7C6D6AF9389094C","10171","79"
"077","paper_profile_ct_v13.md","3AE8161FF9FD7E1D","4867","51"
"077","paper_profile_d2note_v21.md","152DF76ABB4DDF14","5464","58"
"077","paper_profile_pcf1_v13.md","4E0E2FA5F515532F","4856","56"
"077","paper_profile_pcf2_v13.md","9C496D2C28D8EE72","4744","58"
"077","paper_profile_t2b_v30.md","127814EC95DB9D1E","5671","57"
"077","paper_profile_umbrella_v20.md","AF47A7181EDCEE46","5166","63"
"077","portfolio_substrate_anchor_shas.md","F832D6F28E3DD251","7060","86"
"077","quote_length_scan.md","D121825DD946DEFD","3032","67"
"077","unexpected_finds.json","42666BC9ED53BD65","4679","47"
"077","w21_lane1_portfolio_decision_packet.md","D6AF151A91296AE7","8119","120"
"078","_quote_length_scan.py","C36668C7008DBD8A","4237","105"
"078","claims.jsonl","50B61D14D354BC9E","4628","9"
"078","discrepancy_log.json","0B13827A2DD83A8C","5675","56"
"078","endorsement_request_d2note_costin.md","8F2505DC1009945D","7200","132"
"078","endorsement_request_d2note_sauzin.md","FECCAC019870F234","6903","127"
"078","endorsement_request_pcf2_garoufalidis.md","C3050EC6F86C0878","7600","138"
"078","endorsement_request_pcf2_mazzocco.md","3B60163C0D78BA07","6972","121"
"078","endorsement_request_t2b_beukers.md","F066D5FE4212F496","7915","143"
"078","endorser_paper_coverage_matrix.md","A47F9C9686E6A1E2","13129","208"
"078","endorser_profile_beukers.md","C0BFDF8A682E1477","3897","67"
"078","endorser_profile_costin.md","9D2E43A581D9E088","3982","70"
"078","endorser_profile_garoufalidis.md","7DFA5C1D3770206D","4905","72"
"078","endorser_profile_mazzocco.md","7A07CB73AC0B8D04","5646","90"
"078","endorser_profile_sauzin.md","0A22731BDC9718DA","3289","60"
"078","endorser_profile_zudilin.md","5CE684C3BA29A577","4693","69"
"078","endorser_substrate_anchor_shas.md","0F456809ECC7693D","7835","95"
"078","forbidden_verb_scan.md","953A145326738E9A","4696","94"
"078","halt_log.json","E3566B3A06430868","4","1"
"078","handoff.md","DC2045DBF3B3F5A5","12078","208"
"078","quote_length_scan.md","27B2606ACE67BF35","7185","71"
"078","tier2_handle_preverification.md","CF477B59ACD26D44","5327","96"
"078","unexpected_finds.json","C5BBA2EC5AEF2CF3","2388","27"
"078","w21_lane1_endorser_decision_packet.md","42426E6BDA7D7AA3","7940","144"
"079","claims.jsonl","C772F62B4FE50F90","7104","10"
"079","cover_letter_framing_jfr.md","26F1031286526200","3394","66"
"079","cover_letter_framing_lmcs.md","0967190679670CC7","3338","62"
"079","cover_letter_framing_mcs.md","27BDABB8975524FA","3256","61"
"079","cover_letter_framing_tcs.md","E33C42290C51DDD6","3384","63"
"079","cross_venue_compatibility.md","125426F33779AF8D","5283","95"
"079","discrepancy_log.json","8FEE10FECD36B4A7","4168","48"
"079","forbidden_verb_scan.md","7847C88E4605A625","3059","70"
"079","halt_log.json","92355CC7D6BEB982","5923","108"
"079","handoff.md","FEA8194B9C3D96F8","10025","188"
"079","quote_length_scan.md","AE3C9A0D32E8A011","3761","69"
"079","submission_log_item26_splice_spec.md","732ED67856165923","6370","118"
"079","substrate_anchor_shas.md","2E6269D4988D594A","4065","64"
"079","unexpected_finds.json","1DF5B01DC36A56B1","3304","30"
"079","venue_profile_jfr.md","6CA5314F60195856","5523","98"
"079","venue_profile_lmcs.md","4E46D6D01059B255","5317","96"
"079","venue_profile_mcs.md","CAA17EE97CE23A75","5836","107"
"079","venue_profile_tcs.md","2F83B6BAAF5C1004","6000","108"
"079","venue_scope_fit_matrix.md","902C3D499D481FB9","8667","155"
"079","w21_lane1_lean_relaunch_decision_packet.md","B4980C0A98C8FFD4","5097","92"
"076_GATED","076_t3_path_delta_literature_recon.txt","6A33C3F16151CC33","15308","325"
